Time,Datastream Name,Value
2022-03-22 05:16:00,Fine Particles 10,29.0
2022-03-22 05:16:00,ABC Status,1.0
2022-03-22 05:14:00,CO2,480.0
2022-03-22 05:14:00,PRESSURE,1038.0
2022-03-22 05:14:00,Temperature,18.0
2022-03-22 05:14:00,Relative Humidity,36.0
2022-03-22 05:14:00,Fine Particles 2_5,17.0
2022-03-22 05:14:00,Fine Particles 10,29.0
2022-03-22 05:14:00,ABC Status,1.0
2022-03-22 05:12:00,CO2,476.0
2022-03-22 05:12:00,PRESSURE,1038.0
2022-03-22 05:12:00,Temperature,18.0
2022-03-22 05:12:00,Relative Humidity,36.0
2022-03-22 05:12:00,Fine Particles 2_5,15.0
2022-03-22 05:12:00,Fine Particles 10,26.0
2022-03-22 05:12:00,ABC Status,1.0
2022-03-22 05:10:00,CO2,476.0
2022-03-22 05:10:00,PRESSURE,1038.0
2022-03-22 05:10:00,Temperature,18.0
2022-03-22 05:10:00,Relative Humidity,36.0
2022-03-22 05:10:00,Fine Particles 2_5,15.0
2022-03-22 05:10:00,Fine Particles 10,26.0
2022-03-22 05:10:00,ABC Status,1.0
2022-03-22 05:08:00,CO2,480.0
2022-03-22 05:08:00,PRESSURE,1038.0
2022-03-22 05:08:00,Temperature,18.0
2022-03-22 05:08:00,Relative Humidity,36.0
2022-03-22 05:08:00,Fine Particles 2_5,15.0
2022-03-22 05:08:00,Fine Particles 10,26.0
2022-03-22 05:08:00,ABC Status,1.0
2022-03-22 05:06:00,CO2,482.0
2022-03-22 05:06:00,PRESSURE,1038.0
2022-03-22 05:06:00,Temperature,18.0
2022-03-22 05:06:00,Relative Humidity,36.0
2022-03-22 05:06:00,Fine Particles 2_5,15.0
2022-03-22 05:06:00,Fine Particles 10,26.0
2022-03-22 05:06:00,ABC Status,1.0
2022-03-22 05:04:00,CO2,485.0
2022-03-22 05:04:00,PRESSURE,1038.0
2022-03-22 05:04:00,Temperature,18.0
2022-03-22 05:04:00,Relative Humidity,36.0
2022-03-22 05:04:00,Fine Particles 2_5,15.0
2022-03-22 05:04:00,Fine Particles 10,26.0
2022-03-22 05:04:00,ABC Status,1.0
2022-03-22 05:02:00,CO2,486.0
2022-03-22 05:02:00,PRESSURE,1038.0
2022-03-22 05:02:00,Temperature,18.0
2022-03-22 05:02:00,Relative Humidity,36.0
2022-03-22 05:02:00,Fine Particles 2_5,17.0
2022-03-22 05:02:00,Fine Particles 10,29.0
2022-03-22 05:02:00,ABC Status,1.0
2022-03-22 05:00:00,CO2,482.0
2022-03-22 05:00:00,PRESSURE,1038.0
2022-03-22 05:00:00,Temperature,18.0
2022-03-22 05:00:00,Relative Humidity,36.0
2022-03-22 05:00:00,Fine Particles 2_5,15.0
2022-03-22 05:00:00,Fine Particles 10,26.0
2022-03-22 05:00:00,ABC Status,1.0
2022-03-22 04:58:00,CO2,480.0
2022-03-22 04:58:00,PRESSURE,1038.0
2022-03-22 04:58:00,Temperature,18.0
2022-03-22 04:58:00,Relative Humidity,36.0
2022-03-22 04:58:00,Fine Particles 2_5,15.0
2022-03-22 04:58:00,Fine Particles 10,26.0
2022-03-22 04:58:00,ABC Status,1.0
2022-03-22 04:56:00,CO2,477.0
2022-03-22 04:56:00,PRESSURE,1038.0
2022-03-22 04:56:00,Temperature,18.0
2022-03-22 04:56:00,Relative Humidity,36.0
2022-03-22 04:56:00,Fine Particles 2_5,17.0
2022-03-22 04:56:00,Fine Particles 10,29.0
2022-03-22 04:56:00,ABC Status,1.0
2022-03-22 04:54:00,CO2,479.0
2022-03-22 04:54:00,PRESSURE,1038.0
2022-03-22 04:54:00,Temperature,18.0
