Time,Datastream Name,Value
2022-03-26 23:02:00,Relative Humidity,28.0
2022-03-26 23:02:00,Fine Particles 2_5,4.0
2022-03-26 23:02:00,Fine Particles 10,7.0
2022-03-26 23:02:00,ABC Status,1.0
2022-03-26 23:00:00,CO2,412.0
2022-03-26 23:00:00,PRESSURE,1038.0
2022-03-26 23:00:00,Temperature,21.0
2022-03-26 23:00:00,Relative Humidity,28.0
2022-03-26 23:00:00,Fine Particles 2_5,4.0
2022-03-26 23:00:00,Fine Particles 10,7.0
2022-03-26 23:00:00,ABC Status,1.0
2022-03-26 22:58:00,CO2,412.0
2022-03-26 22:58:00,PRESSURE,1038.0
2022-03-26 22:58:00,Temperature,21.0
2022-03-26 22:58:00,Relative Humidity,28.0
2022-03-26 22:58:00,Fine Particles 2_5,5.0
2022-03-26 22:58:00,Fine Particles 10,8.0
2022-03-26 22:58:00,ABC Status,1.0
2022-03-26 22:56:00,CO2,409.0
2022-03-26 22:56:00,PRESSURE,1038.0
2022-03-26 22:56:00,Temperature,21.0
2022-03-26 22:56:00,Relative Humidity,28.0
2022-03-26 22:56:00,Fine Particles 2_5,5.0
2022-03-26 22:56:00,Fine Particles 10,9.0
2022-03-26 22:56:00,ABC Status,1.0
2022-03-26 22:54:00,CO2,406.0
2022-03-26 22:54:00,PRESSURE,1038.0
2022-03-26 22:54:00,Temperature,21.0
2022-03-26 22:54:00,Relative Humidity,28.0
2022-03-26 22:54:00,Fine Particles 2_5,4.0
2022-03-26 22:54:00,Fine Particles 10,7.0
2022-03-26 22:54:00,ABC Status,1.0
2022-03-26 22:52:00,CO2,409.0
2022-03-26 22:52:00,PRESSURE,1038.0
2022-03-26 22:52:00,Temperature,21.0
2022-03-26 22:52:00,Relative Humidity,28.0
2022-03-26 22:52:00,Fine Particles 2_5,5.0
2022-03-26 22:52:00,Fine Particles 10,9.0
2022-03-26 22:52:00,ABC Status,1.0
2022-03-26 22:50:00,CO2,405.0
2022-03-26 22:50:00,PRESSURE,1038.0
2022-03-26 22:50:00,Temperature,21.0
