station,valid,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar,snowdepth
EHBK,2022-06-17 04:25,60.80,50.00,67.54,170.00,3.00,0.00,30.24,M,6.21,M,NSC,M,M,M,M,M,M,M,M,M,M,M,M,M,M,60.80,EHBK 170425Z AUTO 17003KT 9999 NSC 16/10 Q1024 NOSIG,M
EHBK,2022-06-17 04:55,62.60,50.00,63.38,170.00,4.00,0.00,30.24,M,6.21,M,NSC,M,M,M,M,M,M,M,M,M,M,M,M,M,M,62.60,EHBK 170455Z AUTO 17004KT 9999 NSC 17/10 Q1024 NOSIG,M
EHBK,2022-06-17 05:25,64.40,50.00,59.50,160.00,5.00,0.00,30.24,M,6.21,M,NSC,M,M,M,M,M,M,M,M,M,M,M,M,M,M,64.40,EHBK 170525Z AUTO 16005KT 140V200 9999 NSC 18/10 Q1024 NOSIG,M
EHBK,2022-06-17 05:55,64.40,51.80,63.60,180.00,4.00,0.00,30.24,M,6.21,M,NSC,M,M,M,M,M,M,M,M,M,M,M,M,M,M,64.40,EHBK 170555Z AUTO 18004KT 150V210 9999 NSC 18/11 Q1024 NOSIG,M
EHBK,2022-06-17 06:25,64.40,53.60,67.95,160.00,5.00,0.00,30.24,M,6.21,M,NSC,M,M,M,M,M,M,M,M,M,M,M,M,M,M,64.40,EHBK 170625Z AUTO 16005KT 9999 NSC 18/12 Q1024 NOSIG,M
EHBK,2022-06-17 06:55,66.20,53.60,63.82,180.00,7.00,0.00,30.21,M,6.21,M,NSC,M,M,M,M,M,M,M,M,M,M,M,M,M,M,66.20,EHBK 170655Z AUTO 18007KT 150V220 9999 NSC 19/12 Q1023 NOSIG,M
EHBK,2022-06-17 07:25,69.80,53.60,56.38,180.00,5.00,0.00,30.24,M,6.21,M,NSC,M,M,M,M,M,M,M,M,M,M,M,M,M,M,69.80,EHBK 170725Z AUTO 18005KT 150V220 9999 NSC 21/12 Q1024 NOSIG,M
EHBK,2022-06-17 07:55,73.40,53.60,49.90,170.00,5.00,0.00,30.24,M,6.21,M,NSC,M,M,M,M,M,M,M,M,M,M,M,M,M,M,73.40,EHBK 170755Z AUTO 17005KT 140V210 9999 NSC 23/12 Q1024 NOSIG,M
EHBK,2022-06-17 08:25,73.40,53.60,49.90,200.00,7.00,0.00,30.24,M,6.21,M,NSC,M,M,M,M,M,M,M,M,M,M,M,M,M,M,73.40,EHBK 170825Z AUTO 20007KT 170V230 9999 NSC 23/12 Q1024 NOSIG,M
EHBK,2022-06-17 08:55,75.20,51.80,43.97,200.00,5.00,0.00,30.24,M,6.21,M,NCD,M,M,M,M,M,M,M,M,M,M,M,M,M,M,75.20,EHBK 170855Z AUTO 20005KT 140V240 9999 NCD 24/11 Q1024 NOSIG,M
EHBK,2022-06-17 09:25,75.20,51.80,43.97,230.00,7.00,0.00,30.24,M,6.21,M,NSC,M,M,M,M,M,M,M,M,M,M,M,M,M,M,75.20,EHBK 170925Z AUTO 23007KT 190V270 9999 NSC 24/11 Q1024 NOSIG,M
